"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"US-NE-*","US","NE","*","5.5","","","",""
"US-NE-Fremont-68026","US","NE","68026","1.5","","","",""
"US-NE-Dakota-68030","US","NE","68030","0.5","","","",""
"US-NE-Uehling-68063","US","NE","68063","1.0","","","",""
"US-NE-Omaha-68102","US","NE","68102","1.5","","","",""
"US-NE-Omaha-68103","US","NE","68103","1.5","","","",""
"US-NE-Omaha-68104","US","NE","68104","1.5","","","",""
"US-NE-Omaha-68105","US","NE","68105","1.5","","","",""
"US-NE-Omaha-68106","US","NE","68106","1.5","","","",""
"US-NE-Omaha-68107","US","NE","68107","1.5","","","",""
"US-NE-Omaha-68108","US","NE","68108","1.5","","","",""
"US-NE-Omaha-68109","US","NE","68109","1.5","","","",""
"US-NE-Omaha-68111","US","NE","68111","1.5","","","",""
"US-NE-Omaha-68114","US","NE","68114","1.5","","","",""
"US-NE-Omaha-68124","US","NE","68124","1.5","","","",""
"US-NE-Omaha-68131","US","NE","68131","1.5","","","",""
"US-NE-Omaha-68132","US","NE","68132","1.5","","","",""
"US-NE-Omaha-68139","US","NE","68139","1.5","","","",""
"US-NE-Omaha-68145","US","NE","68145","1.5","","","",""
"US-NE-Omaha-68175","US","NE","68175","1.5","","","",""
"US-NE-Omaha-68178","US","NE","68178","1.5","","","",""
"US-NE-Omaha-68179","US","NE","68179","1.5","","","",""
"US-NE-Omaha-68180","US","NE","68180","1.5","","","",""
"US-NE-Omaha-68182","US","NE","68182","1.5","","","",""
"US-NE-Omaha-68183","US","NE","68183","1.5","","","",""
"US-NE-Omaha-68197","US","NE","68197","1.5","","","",""
"US-NE-Omaha-68198","US","NE","68198","1.5","","","",""
"US-NE-Cordova-68330","US","NE","68330","1.0","","","",""
"US-NE-Lincoln-68501","US","NE","68501","1.5","","","",""
"US-NE-Lincoln-68504","US","NE","68504","1.5","","","",""
"US-NE-Lincoln-68508","US","NE","68508","1.5","","","",""
"US-NE-Lincoln-68529","US","NE","68529","1.5","","","",""
"US-NE-Lincoln-68542","US","NE","68542","1.5","","","",""
"US-NE-Lincoln-68588","US","NE","68588","1.5","","","",""
"US-NE-Columbus-68602","US","NE","68602","1.5","","","",""
"US-NE-Duncan-68634","US","NE","68634","1.0","","","",""
"US-NE-Norfolk-68702","US","NE","68702","1.5","","","",""
"US-NE-Dakota-68731","US","NE","68731","0.5","","","",""
"US-NE-Dakota-68741","US","NE","68741","0.5","","","",""
"US-NE-Dakota-68743","US","NE","68743","0.5","","","",""
"US-NE-Dakota-68776","US","NE","68776","0.5","","","",""
"US-NE-Grand_Island-68802","US","NE","68802","1.5","","","",""
"US-NE-Kearney-68849","US","NE","68849","1.5","","","",""
"US-NE-Oconto-68860","US","NE","68860","1.0","","","",""
"US-NE-Sargent-68874","US","NE","68874","1.5","","","",""
"US-NE-North_Platte-69103","US","NE","69103","1.5","","","",""
